642	PUJOLS VAS	4260.28649902344	Tipo A	1989	1	29	80882
1104	BALTANE	11897.1481933594	Tipo A	1964	9	5	84036
373	CAL ROSELL - MACABEU	2967.20544433594	Tipo A	1969	1	32	80193
1103	SERRA/TAMBO	9533.23828125	Tipo A	1999	1	5	84036
175	R P POL.4 PAR.52 - M	9005.0478515625	Base	1979	1	57	80324
1753	JOVE HORT	7231.63220214844	Tipo A	1987	2	68	80213
1381	CAVES CAL BALTA	16803.2130126953	Base	1984	1	76	86077
734	LA SERRA - XAREL.LO	2069.56420898438	Base	1971	2	58	80309
218	CAL QUIM	6126.36071777344	Base	1987	2	29	87238
1421	POU	9836.81188964844	Base	1988	9	82	87309
2325	CAN BONASTRE FUTBOL	51165.1948242188	Tipo A	1990	1	65	83940
1423	BIEL	16033.248046875	Base	1994	1	82	87309
75	JM POL.11 PAR.48 - X	6051.15563964844	Base	1966	2	30	81023
1438	XEROPET	21689.3427734375	Base	1970	2	34	82341
1045	XUXET	3854.58508300781	Tipo A	1991	1	35	82701
1969	LA GRASSA	12365.3039550781	Tipo A	2003	2	83	83071
216	CAL QUIM	4573.09020996094	Base	2003	2	29	87238
1750	VELLA FABOLI	4414.0556640625	Base	1966	2	68	80213
626	FIGOT	7894.04650878906	Tipo A	1986	2	35	80302
243	GIRVES -POL.33 PAR.8	3259.87927246094	Base	1989	1	49	81204
868	POL. 29 PARC. 11 (MA	2119.31396484375	Base	1967	1	35	80073
2711	PLANS JOVE	8865.751953125	Tipo A	2001	2	82	89304
1769	PEIX	5757.89489746094	Tipo A	1958	2	68	83182
319	FONDO SIMEON	6586.34838867188	Base	1991	1	60	80032
290	ERA VICENS - PARELLA	1689.97290039063	Base	1964	9	9	82603
622	HORT JOVE	10953.6387939453	Tipo A	1984	1	30	80302
633	CIRERERS	24320.3288574219	Tipo A	1995	1	35	80302
637	POMT	9383.63854980469	Tipo A	1978	9	35	80302
643	PUJOLS EMPARRAT	5533.05651855469	Tipo A	2002	1	29	80882
667	LA FIGUERA - MACABEU	3082.67810058594	Tipo A	1983	1	29	80313
442	PRESSEGUERS	5038.11853027344	Tipo A	1989	9	55	80361
1480	FERNANDO	12178.4505615234	Tipo A	1983	9	29	84353
2975	CAN CANYES FIGUERA	40251.1530761719	Tipo A	2005	2	19	80733
3115	L'ALTRE BANDA	7662.34899902344	Tipo A	1981	9	5	80093
910	POL. 13 PARC. 153 (P	2952.23828125	Base	1984	9	58	80296
3255	PEIXO	6199.57019042969	Tipo A	1969	9	35	89603
1908	LA TRIA	7107.66223144531	Tipo A	2001	2	17	83301
746	LA SOLAYA - MACABEU	29007.3479003906	Tipo A	1979	1	9	81403
1571	CAGUERTO	9695.02331542969	Tipo A	1974	1	23	89523
701	LA PLANA - MACABEU	8626.2138671875	Tipo A	1987	1	5	83059
34	EL PI - PARELLADA	8877.40173339844	Tipo A	1981	9	17	83307
391	S M POL.7 PAR.20 - M	6330.85241699219	Base	1989	1	63	82011
135	XAREL.CARME	10076.5238037109	Tipo A	1966	2	29	82326
393	S M POL.7 PAR.20 - P	3789.49755859375	Base	1974	9	63	82011
453	VINYA DE CASA (MACAB	1705.39196777344	Base	1995	1	29	80631
1773	RASES	9833.99365234375	Tipo A	1995	2	68	83182
500	VINYA DEL POU - XARE	2551.33264160156	Base	1983	2	17	80132
1754	VELLA HORT	5314.68493652344	Base	2000	2	68	80213
1763	REGUEROTS	11602.5523681641	Tipo A	1985	1	17	83182
53	ELS PUJOLS - XAREL.L	9775.25244140625	Tipo A	1996	2	25	80633
1768	JOANETA BAIX	5379.67053222656	Tipo A	1963	2	68	83182
1568	JOANICH	17776.8576660156	Tipo A	1984	1	58	89523
322	CAN BATLLE - XAREL.L	4645.57116699219	Base	1974	2	17	80236
390	S M POL.7 PAR.18 - X	3941.30456542969	Base	1956	2	63	82011
451	CLOT DE LA MATA	23973.4835205078	Base	1994	9	5	80631
1771	LES CREUS	12101.6903076172	Tipo A	1997	2	68	83182
65	SENINES - XAREL.LO 2	36929.6584472656	Tipo A	1994	2	65	84383
748	CAL MITJANS	5347.083984375	Tipo A	1979	1	82	81403
482	POL.14 PAR.36 - PARE	9089.51647949219	Base	1967	9	58	85341
483	POL.14 PAR.36 - XARE	8267.89038085938	Base	1967	2	58	85341
33	ESCALETES  - XAREL.L	15261.6870117188	Tipo A	1984	2	17	83307
951	CAL RIGOL (XAR)	8155.93322753906	Tipo A	2002	2	29	89326
481	POL.13 PAR.124 - PAR	9165.75122070313	Base	1975	9	58	85341
58	PERA ANTON - MACABEU	3783.94812011719	Base	1992	1	49	84103
68	CREIXELLA - XAREL.LO	38057.4053955078	Tipo A	1975	2	65	84383
526	CAL GRAVAT - MACABEU	5389.45007324219	Base	1991	1	49	83071
675	LES OLIVERAS - XAREL	4521.03918457031	Base	1981	2	49	80313
592	POL.1 PAR.24 - PAREL	3809.56665039063	Base	1969	9	29	81006
59	PERA ANTON - PARELLA	1878.83618164063	Base	1984	9	49	84103
1956	macabeo c. poch	20673.3781738281	Base	1981	1	8	83841
1741	JOVE SURROCA	13451.3704833984	Tipo A	1987	2	68	80213
1282	CAN GARRIGA	6145.96936035156	Tipo A	1957	1	23	81318
1751	PI	5463.1396484375	Tipo A	1987	2	68	80213
1756	MARTA	15918.5780029297	Tipo A	2000	2	68	80213
1762	VENANCIO	5540.82922363281	Tipo A	2002	1	68	80213
2695	SANTA SUSANA PETITA	6520.62487792969	Tipo A	1967	2	17	83307
1745	MAJOFRE	8785.13916015625	Tipo A	1988	2	68	80213
1755	MASSANA ARGELAGÀ	6519.90515136719	Tipo A	1994	1	68	80213
1800	MASIA JOVE	9282.77990722656	Tipo A	1990	1	19	80733
1804	MODESTO CASA	18747.3917236328	Tipo A	2000	2	19	80733
1805	ISIDRO	8843.0087890625	Tipo A	1999	4	19	80733
617	POL.29 PAR.10 - XARE	6558.41516113281	Base	1964	2	41	81006
672	LLEBRE - XAREL.LO	2472.44543457031	Base	1979	2	29	80313
2872	XICA	6020.16125488281	Base	1959	2	8	88113
1846	PLANA DEL PERICO	7690.40222167969	Tipo A	1997	9	60	80693
1847	FONDO DEL GRALLER	14674.9815673828	Tipo A	1999	9	60	80693
2327	PLANA	14655.537109375	Base	1964	2	30	83068
624	POL.8 PAR.8 - MACABE	6886.06970214844	Base	1974	1	30	80302
630	POL.22 PAR.32 - MACA	3919.03491210938	Base	2000	1	35	80302
644	PARELLADA ROVIRA	12679.0559082031	Base	1973	9	29	80882
2996	PASTORET	10898.6668701172	Tipo A	\N	2	41	81102
645	PARELLADA CAL SALET	3115.35009765625	Base	1985	9	29	80882
663	SOTA CASA - MACABEU	2132.63842773438	Base	1982	1	29	80313
670	BENJAMIN -XAREL.LO	7744.19738769531	Base	1959	2	29	80313
2424	BENITO JOVES	19208.8793945313	Tipo A	2007	2	41	82016
131	MAS BARRAQUER	21834.0999755859	Tipo A	1961	1	58	83308
144	BALTA	8208.06176757813	Tipo A	1994	1	29	82326
3182	MACABEU-TRANSFORMADO	9633.38757324219	Tipo A	1978	1	5	81213
162	ARTIGAS-PACHO	12999.7640380859	Tipo A	1987	1	5	89101
166	BRUGUERAS -	6032.09045410156	Tipo A	2002	1	25	89101
2963	ELS LLACS	11580.9700927734	Tipo A	1966	1	29	82309
896	MIANGE (MAC)	6107.83056640625	Tipo A	1967	1	29	80426
316	VINYET	6949.2431640625	Tipo A	1982	1	60	80032
278	FERRER DE LA VALL	51972.5358886719	Tipo A	2003	1	58	80136
1760	NASSARI	7054.88549804688	Base	1987	1	68	80213
1798	AMADEU	19220.5444335938	Tipo A	2002	2	19	80733
1481	VICENÇ	7809.3466796875	Tipo A	1981	2	29	84353
87	CAL ISACH - MACABEU	5491.41809082031	Tipo A	1967	1	5	83503
2827	CAN CREIXELL	50223.6939697266	Base	1964	2	58	84436
2881	AGRIC. POL.4 PAR.2 -	11185.1519775391	Base	1987	11	19	80023
699	CAL SINTET - XAREL.L	15563.130859375	Tipo A	1982	2	5	81023
1611	AMALIA	6488.28015136719	Tipo A	1970	2	30	80302
890	CAL VICENS (PAR)	10025.9321289063	Tipo A	1984	9	29	80426
1506	SALVADOR	6737.90686035156	Tipo A	1984	1	29	87739
120	LA PLANTA- MACABEU	104312.985473633	Tipo A	1969	1	30	80183
1426	AMADEU	14915.9655761719	Tipo A	1998	9	60	80632
1484	CAMP DE L'HORT	15062.6175537109	Tipo A	1996	2	29	84353
129	CAN QUISERO VELL	19293.8917236328	Base	1978	1	65	83308
2228	PONT XIC	3636.79345703125	Tipo A	1983	2	25	83089
2230	CASA DIVINO	7069.72119140625	Tipo A	1984	2	25	83089
900	CEMENTIRI (PAR)	11178.7868652344	Base	1979	9	29	80426
1033	VINYALS	9232.73693847656	Base	1981	9	17	85137
641	SOBRE HIPICA (SANT P	25902.0347900391	Tipo A	2002	2	35	81023
1003	CASILLA	16586.4393310547	Tipo A	1979	2	52	86409
164	CAN SERRA -	7479.47180175781	Tipo A	1997	9	29	89101
2583	LA PLANA	20595.5546875	Base	2000	4	58	83301
817	VINYA DEL JAN (MAC)	13191.7883300781	Tipo A	1979	1	23	87013
76	JM POL.10 PAR.2 -	7879.60205078125	Base	1981	9	5	81023
602	POL.2 PAR.5 - XAREL.	57214.3918457031	Base	2003	2	29	81006
1508	NOCES	4013.45007324219	Tipo A	1986	1	29	87739
62	LA PUSA - PARELLADA	3398.24548339844	Base	1986	9	49	84103
1573	PEPET	5940.34924316406	Tipo A	1959	2	23	89523
63	LA CHURIGUERA - PARE	6475.39538574219	Base	1979	9	49	84103
1510	SINDO	8224.54223632813	Tipo A	2003	2	76	87739
32	LA FIGUERA - PARELLA	9328.59558105469	Tipo A	1984	9	17	83307
1872	NINUS	27058.8243408203	Tipo A	1971	2	23	85903
595	POL.2 PAR.6 - XAREL.	12073.7012939453	Base	1999	2	29	81006
2555	RECTOR I VALENCIANS	88945.1467285156	Tipo A	1990	4	58	88943
178	R P POL. 30 PAR. 2 -	5739.1708984375	Base	1979	1	9	80324
605	POL.9 PAR.3 - XAREL.	7493.00085449219	Base	2003	2	49	81006
183	R P POL.25 PAR.1 - M	27820.5339355469	Base	1974	1	82	80324
188	R P POL. 3 PAR.33 -	4021.40209960938	Base	1999	2	76	80324
192	R P POL.26 PAR.9 - X	5965.64184570313	Base	1944	1	41	80324
496	BOET - XAREL.LO	8874.14794921875	Base	1950	2	17	80132
615	POL.13 PAR.8 - XAREL	54010.8205566406	Base	2003	2	25	81006
98	VINYA GRAN STA MARIA	21254.4571533203	Tipo A	1988	2	5	81031
2953	ELS POUS	9640.87890625	Tipo A	2001	2	40	81314
86	CAL CINTET -PARELLAD	2149.14343261719	Base	1982	9	5	83503
1037	CASIMIRO	1713.05432128906	Base	1990	1	17	85137
1907	SOTA CASA	7419.81188964844	Tipo A	1996	2	17	83301
108	VINYA GRAN I PETITA	6957.10522460938	Tipo A	1985	1	30	81031
2420	PAU GOL -XAREL·LO VE	2733.34362792969	Tipo A	1964	2	34	82016
600	POL.7 PAR.7 - PARELL	20894.4567871094	Base	1979	9	29	81006
1035	MASIA DEL ROIG	7492.76123046875	Base	1966	2	17	85137
325	CAL VENDRELL - XAREL	18471.8773193359	Base	2004	2	17	80236
328	SERRA  - PARELLADA	9793.72583007813	Base	1977	9	23	83921
2874	CAN JULIA	14705.4263916016	Base	1954	2	8	88113
2901	VINYA ANTONIO - MACA	7503.51306152344	Base	1969	1	65	84371
3036	DALT LA SERRA	22281.3743896484	Base	1974	9	58	85341
318	CORRALER	7564.65588378906	Tipo A	1985	4	60	80032
2877	CAN BONASTRE - MACAB	32429.4725341797	Base	1962	1	58	80243
2888	J E POL.12 PAR.1- MA	10820.9490966797	Base	1969	1	8	80343
283	CAL ARTURO - PARELLA	16988.4272460938	Tipo A	1989	9	29	87963
71	ALCALDE - MACABEU	44934.0717773438	Tipo A	1991	1	65	84383
74	XAR - CAL ISAC	4237.82568359375	Tipo A	1991	2	5	81023
737	LA CREUETA	3224.2216796875	Base	1974	2	58	80309
79	SAT- PLANA II - MACA	38835.2469482422	Tipo A	1989	1	58	81396
101	VINYA LA CLOTA - XAR	4523.24206542969	Tipo A	1969	2	30	81031
84	CAL CINTET -PARELLAD	6493.2197265625	Tipo A	1995	9	5	83503
109	AVELLANAR - PARELLAD	6995.34020996094	Tipo A	1990	9	60	81327
845	POL. 30  PARC. 69 (P	7336.54846191406	Base	1990	9	60	82081
872	AMETLLERAR	7357.51684570313	Base	1985	9	60	83598
252	SERRALET2(JAUMET)	6734.60571289063	Tipo A	2005	2	30	83068
915	CAMP DE LA BASSA	12116.1680908203	Base	1988	2	9	80093
958	LA CASETA (XAR)	3797.81213378906	Tipo A	1959	2	41	89326
298	AVELLANERS -PARELLAD	1755.64294433594	Tipo A	1966	9	7	82603
237	SOCARRADA - PARELLAD	8705.35461425781	Tipo A	2001	9	29	81204
241	CAL MINGUET - PARELL	12824.1619873047	Tipo A	1988	9	49	81204
1583	SEGUL BAIX	9185.00268554688	Tipo A	1971	9	58	89523
1096	MAIOL GRAN	8049.07971191406	Tipo A	1989	1	5	83704
1097	MAIOLET	4047.22595214844	Tipo A	1965	1	5	83704
1036	FONDO MASOVER-CASIMI	4367.56127929688	Base	1984	1	17	85137
251	CLOT	8020.79467773438	Tipo A	1988	1	5	83068
1414	L'ERA	3595.88732910156	Tipo A	1972	2	29	81302
1056	PINEDA	8986.02575683594	Tipo A	1974	9	35	82320
297	JOVE ESPLUGUES - XAR	7123.96069335938	Tipo A	1981	2	7	82603
458	CAL COTOLIU - XAREL.	5696.95971679688	Tipo A	1980	2	25	83089
488	CUARTEIS - MACABEU	5177.37878417969	Tipo A	1974	1	17	88302
1474	COSTETA	6696.50952148438	Base	1963	9	29	84353
2886	CAN PRATS - MACABEU	3981.90625	Base	1974	1	8	83183
307	LA BASTERA	5690.65783691406	Tipo A	1971	2	45	83133
489	CUARTEIS - XAREL.LO	8154.17932128906	Tipo A	2001	2	17	88302
1515	MAC-CREUETA	5414.9609375	Tipo A	1975	1	29	87739
1504	MASIA	8319.13732910156	Tipo A	1982	2	29	87739
419	VINYA CAL ESTEVE - P	9528.78332519531	Tipo A	1978	9	19	80733
1511	RONDINA	6892.97058105469	Tipo A	2005	1	76	87739
1483	ALZINA	15165.4066162109	Base	1964	1	29	84353
491	SEGOLS - XAREL.LO	5848.53015136719	Tipo A	1974	2	68	88302
749	CEMENTIRI	10623.94140625	Tipo A	1978	9	82	81403
752	VINYA XICA	9484.40026855469	Tipo A	1997	2	58	84013
756	XAR -PACS	8800.77917480469	Tipo A	1985	2	76	80838
2112	GARROFER	14326.5954589844	Base	2002	2	29	85321
911	POL. 13 PARC. 153 LA	11776.1433105469	Tipo A	1973	9	58	80296
1382	CASILLA	11554.5648193359	Tipo A	1981	1	76	86077
1734	FUTBOL	4561.78271484375	Base	1967	1	68	80213
1475	AGUSTÍ	10626.9836425781	Tipo A	1996	2	29	84353
1730	VELLA SEGOLS	5443.9755859375	Base	1958	1	68	80213
1757	FORNOT	3695.85095214844	Base	2000	1	68	80213
2219	PARENOSTRES	14113.1229248047	Base	1972	1	32	83704
1040	L'OLIVERA (TUTA-BUSC	17488.6127929688	Tipo A	1990	2	17	85137
1100	CIRERER (CASETES)	4588.03356933594	Tipo A	2000	9	5	83704
1582	SEGUL DALT	7848.21423339844	Tipo A	1969	9	58	89523
1041	SOTA BASSA	10674.6926269531	Tipo A	1990	1	17	85137
1048	ANTON JAN II	367.001586914063	Tipo A	1996	1	35	83313
1478	JEPA	6624.87524414063	Tipo A	1968	2	29	84353
1049	PAU ROS ABC	5484.56616210938	Tipo A	1996	1	35	83313
1891	FONTA AMATLLE	8665.81970214844	Tipo A	1980	1	23	83309
1286	SOTA EL CORRAL	17022.3355712891	Tipo A	2007	9	60	84163
1305	CAL FRARE	6993.23388671875	Tipo A	1984	2	29	85321
1416	XAR- CAL MOLINS	9337.18835449219	Tipo A	1989	2	82	83002
1425	JOAQUIM	6007.25549316406	Tipo A	1983	1	82	87309
1623	LAVERN	9243.24829101563	Tipo A	2001	1	35	84023
1579	EBANISTES	7846.14575195313	Tipo A	1939	2	23	89523
1448	PAQUITA	8078.38537597656	Base	1939	9	49	80532
2304	DALT EL ROS	18879.5870361328	Base	1978	9	58	83301
2305	FEIXA DALT TORROTA	10470.2208251953	Base	2000	9	58	83301
2374	CAL ANDREUET 2	5726.46118164063	Tipo A	1990	9	9	80377
1668	TURONS	8246.42395019531	Tipo A	1976	9	68	86301
1436	BOSC BORD	23557.0692138672	Tipo A	1990	1	34	82341
1566	MARIO	21375.7384033203	Tipo A	1983	1	58	89523
1440	GALLINERS	9502.53344726563	Tipo A	2003	2	34	82341
1441	PLANA EMPARRADA	18732.7593994141	Tipo A	1994	2	34	82341
1452	ROURES	4020.94470214844	Tipo A	1990	1	49	80532
1482	MUSCUTI	9322.650390625	Tipo A	1979	9	29	84353
457	CAL PARE NOSTRES - M	2768.81335449219	Tipo A	1959	1	25	83089
1553	MISTO	5661.10595703125	Tipo A	1974	2	35	83062
1551	LA PLANA	18411.8757324219	Tipo A	1939	2	35	83062
2683	FONDO MAGI- XAREL·LO	6160.46435546875	Base	1984	2	17	83307
1555	SALVADOR	18037.7314453125	Tipo A	1998	1	35	83062
1543	MAC- MANOU	11281.1203613281	Tipo A	1986	1	5	82309
